2016-03-31T00:00, NEW DAWN TRANSIT, 54.1, RELIANT TRANS, 51.8, G.V.C., 37.8, LEESEL TRANSP CORP , 33.6, PIONEER TRANSPORTATION CO, 32.9
2016-04-07T00:00, LEESEL TRANSP CORP , 51.2, RELIANT TRANS, 51.0, NEW DAWN TRANSIT, 34.1, PIONEER TRANSPORTATION CO, 31.8, G.V.C., 31.2
2016-04-14T00:00, RELIANT TRANS, 56.099999999999994, LEESEL TRANSP CORP , 42.800000000000004, NEW DAWN TRANSIT, 38.3, PIONEER TRANSPORTATION CO, 31.9, BORO TRANSIT, 29.099999999999998
2016-04-21T00:00, NEW DAWN TRANSIT, 21.0, LEESEL TRANSP CORP , 20.7, RELIANT TRANS, 20.1, PIONEER TRANSPORTATION CO, 14.7, BORO TRANSIT, 8.600000000000001
2016-04-28T00:00, LEESEL TRANSP CORP , 33.1, RELIANT TRANS, 32.4, PIONEER TRANSPORTATION CO, 32.3, NEW DAWN TRANSIT, 29.9, BORO TRANSIT, 22.9
2016-05-05T00:00, RELIANT TRANS, 53.3, LEESEL TRANSP CORP , 47.5, NEW DAWN TRANSIT, 39.2, PIONEER TRANSPORTATION CO, 33.9, BORO TRANSIT, 24.6
2016-05-12T00:00, LEESEL TRANSP CORP , 50.4, RELIANT TRANS, 48.599999999999994, NEW DAWN TRANSIT, 43.900000000000006, PIONEER TRANSPORTATION CO, 39.6, G.V.C., 27.099999999999998
2016-05-19T00:00, NEW DAWN TRANSIT, 54.0, RELIANT TRANS, 53.2, LEESEL TRANSP CORP , 46.1, PIONEER TRANSPORTATION CO, 45.2, G.V.C., 33.4
2016-05-26T00:00, RELIANT TRANS, 59.3, NEW DAWN TRANSIT, 35.900000000000006, LEESEL TRANSP CORP , 35.199999999999996, PIONEER TRANSPORTATION CO, 29.4, G.V.C., 24.4
2016-06-02T00:00, RELIANT TRANS, 48.9, NEW DAWN TRANSIT, 42.8, LEESEL TRANSP CORP , 42.3, G.V.C., 39.199999999999996, PIONEER TRANSPORTATION CO, 32.5
2016-06-09T00:00, NEW DAWN TRANSIT, 30.0, RELIANT TRANS, 28.4, G.V.C., 24.7, LEESEL TRANSP CORP , 24.599999999999998, LITTLE RICHIE BUS SERVICE, 16.7
2016-06-16T00:00, RELIANT TRANS, 36.3, NEW DAWN TRANSIT, 36.2, G.V.C., 33.1, DON THOMAS BUSES, 18.0, PIONEER TRANSPORTATION CO, 16.5
2016-06-23T00:00, NEW DAWN TRANSIT, 24.6, RELIANT TRANS, 18.1, DON THOMAS BUSES, 13.5, PIONEER TRANSPORTATION CO, 8.7, HAPPY CHILD TRANS LLC , 8.0
2016-06-30T00:00, G.V.C., 16.0, HOYT TRANSPORTATION CORP., 8.8, PRIDE TRANSPORTATION , 6.0, L & M BUS CORP., 5.9, LOGAN BUS COMPANY INC., 5.7
2016-07-07T00:00, PRIDE TRANSPORTATION , 45.400000000000006, HOYT TRANSPORTATION CORP., 45.4, G.V.C., 31.299999999999997, LOGAN BUS COMPANY INC., 24.199999999999996, ALL AMERICAN SCHOOL BUS C, 20.9
2016-07-14T00:00, PRIDE TRANSPORTATION , 62.2, HOYT TRANSPORTATION CORP., 43.9, LOGAN BUS COMPANY INC., 34.4, G.V.C., 30.1, LITTLE RICHIE BUS SERVICE, 14.5
2016-07-21T00:00, PRIDE TRANSPORTATION , 56.800000000000004, LOGAN BUS COMPANY INC., 42.5, HOYT TRANSPORTATION CORP., 41.599999999999994, G.V.C., 20.4, LORINDA ENT. LTD., 16.4
2016-07-28T00:00, PRIDE TRANSPORTATION , 43.9, HOYT TRANSPORTATION CORP., 37.2, LOGAN BUS COMPANY INC., 28.6, G.V.C., 16.2, LITTLE RICHIE BUS SERVICE, 13.2
2016-08-04T00:00, HOYT TRANSPORTATION CORP., 31.5, PRIDE TRANSPORTATION , 30.799999999999997, LOGAN BUS COMPANY INC., 21.3, G.V.C., 15.7, LORINDA ENT. LTD., 12.2
2016-08-11T00:00, PRIDE TRANSPORTATION , 16.2, HOYT TRANSPORTATION CORP., 14.799999999999999, LOGAN BUS COMPANY INC., 13.3, LORINDA ENT. LTD., 11.799999999999999, CONSOLIDATED BUS TRANS. I, 6.3
2016-08-18T00:00, HOYT TRANSPORTATION CORP., 1.2, ALL AMERICAN SCHOOL BUS C, 0.8, ADDIES, 0.6, LITTLE RICHIE BUS SERVICE, 0.6, RELIANT TRANS, 0.6
2016-08-25T00:00, HOYT TRANSPORTATION CORP., 1.5, LORINDA ENT. LTD., 0.3, RELIANT TRANS, 0.3, PRIDE TRANSPORTATION , 0.2
2016-09-01T00:00, RELIANT TRANS, 20.6, MAR-CAN TRANSPORT CO. INC, 9.6, LOGAN BUS COMPANY INC., 6.6000000000000005, G.V.C., 5.9, LEESEL TRANSP CORP , 5.5
2016-09-08T00:00, RELIANT TRANS, 111.4, PIONEER TRANSPORTATION CO, 79.39999999999999, G.V.C., 57.699999999999996, NEW DAWN TRANSIT, 56.900000000000006, FIRST STEPS TRANSP INC. (, 37.1
2016-09-15T00:00, PIONEER TRANSPORTATION CO, 82.0, G.V.C., 77.19999999999999, RELIANT TRANS, 76.2, NEW DAWN TRANSIT, 61.199999999999996, LEESEL TRANSP CORP , 43.6
2016-09-22T00:00, RELIANT TRANS, 97.9, NEW DAWN TRANSIT, 82.3, PIONEER TRANSPORTATION CO, 81.3, G.V.C., 80.8, LEESEL TRANSP CORP , 45.0
2016-09-29T00:00, NEW DAWN TRANSIT, 56.0, RELIANT TRANS, 40.4, G.V.C., 36.4, PIONEER TRANSPORTATION CO, 28.099999999999998, LEESEL TRANSP CORP , 25.299999999999997
2016-10-06T00:00, NEW DAWN TRANSIT, 64.6, G.V.C., 41.8, PIONEER TRANSPORTATION CO, 30.299999999999997, RELIANT TRANS, 28.900000000000002, LEESEL TRANSP CORP , 23.5
